date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Welterweight Title Fight,Jack Della Maddalena,170,160,Belal Muhammad,170,-192,Decision (Unanimous),5,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Flyweight Title Fight,Valentina Shevchenko,124,124,Manon Fiorot,125,-148,Decision (Unanimous),5,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Featherweight,Aiemann Zahabi,142,180,Jose Aldo,143,-218,Decision (Unanimous),3,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Flyweight,Natalia Silva,126,-238,Alexa Grasso,126,195,Decision (Unanimous),3,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Lightweight,Benoit St. Denis,156,-1100,Kyle Prepolec,156,700,Submission (Arm-Triangle Choke),2,2:35
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Welterweight,Mike Malott,171,-192,Charlie Radtke,171,160,KO (Punches),2,0:26
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Flyweight,Jasmine Jasudavicius,124,-298,Jessica Andrade,126,240,Submission (Rear-Naked Choke),1,2:40
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Light Heavyweight,Modestas Bukauskas,203,-112,Ion Cutelaba,205,-108,Decision (Split),3,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Light Heavyweight,Navajo Stirling,205,-298,Ivan Erslan,205,240,Decision (Unanimous),3,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,187lb Catchweight,Marc-Andre Barriault,185,-148,Bruno Silva,187: Missed Weight,124,KO (Elbows and Punches),1,1:27
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Featherweight,Daniel Santos,146,-105,Jeong Yeong Lee,146,-115,Decision (Unanimous),3,5:00
"May 10, 2025",UFC 315 - Muhammad vs. Della Maddalena,Bantamweight,Bekzat Almakhan,136,-180,Brad Katona,136,150,KO (Punches),1,1:04
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Bantamweight,Cory Sandhagen,135.5,-500,Deiveson Figueiredo,135,380,TKO (Knee Injury),2,4:08
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Middleweight,Reinier de Ridder,185.5,260,Bo Nickal,185.5,-325,TKO (Knees),2,1:53
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Welterweight,Daniel Rodriguez,170.5,102,Santiago Ponzinibbio,170,-122,TKO (Punches),3,1:12
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Bantamweight,Montel Jackson,136,-205,Daniel Marcos,135.5,170,Decision (Unanimous),3,5:00
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Bantamweight,Serhiy Sidey,135.5,-135,Cameron Smotherman,135.5,114,Decision (Unanimous),3,5:00
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Lightweight,Mason Jones,155.5,-600,Jeremy Stephens,155,440,Decision (Unanimous),3,5:00
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Bantamweight,Yana Santos,136,120,Miesha Tate,135.5,-142,Decision (Unanimous),3,5:00
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Middleweight,Azamat Bekoev,185.5,-395,Ryan Loder,185.5,310,TKO (Punches),1,2:44
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Strawweight,Gillian Robertson,115.5,-325,Marina Rodriguez,115.5,260,TKO (Punches),2,2:07
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Bantamweight,Quang Le,135.5,120,Gaston Bolanos,135.5,-142,Technical Submission (Rear-Naked Choke),2,1:54
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Heavyweight,Thomas Petersen,250,-265,Don'Tale Mayes,259,215,Decision (Unanimous),3,5:00
"May 3, 2025",UFC on ESPN 67 - Sandhagen vs. Figueiredo,Flyweight,Juliana Miller,126,190,Ivana Petrovic,125.5,-230,Decision (Unanimous),3,5:00
"Apr 26, 2025",UFC on ESPN 66 - Garry vs. Prates,Welterweight,Ian Garry,171,-135,Carlos Prates,171,114,Decision (Unanimous),5,5:00
"Apr 26, 2025",UFC on ESPN 66 - Garry vs. Prates,Light Heavyweight,Mingyang Zhang,206,-500,Anthony Smith,206,380,TKO (Elbows),3,3:07
