date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Heavyweight,Jailton Almeida,236,-485,Derrick Lewis,265,370,Decision (Unanimous),5,5:00
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Welterweight,Nicolas Dalby,170.5,455,Gabriel Bonfim,170.5,-625,TKO (Knees and Punches),2,4:33
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Heavyweight,Rodrigo Nascimento,264,-185,Don'Tale Mayes,264,154,Decision (Unanimous),3,5:00
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Middleweight,Caio Borralho,186,-265,Abusupiyan Magomedov,185,215,Decision (Unanimous),3,5:00
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,165lb Catchweight,Elves Brener,164,-225,Kaynan Kruschewsky,165,185,KO (Punch),1,4:01
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Welterweight,Elizeu Zaleski dos Santos,171,285,Rinat Fakhretdinov,170.5,-360,Draw (Majority),3,5:00
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Light Heavyweight,Vitor Petrino,206,-218,Modestas Bukauskas,205.5,180,KO (Punch),2,1:03
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Strawweight,Angela Hill,115.5,105,Denise Gomes,115.5,-125,Decision (Unanimous),3,5:00
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,120lb Catchweight,Eduarda Moura,119.5: Missed Weight,-550,Montserrat Ruiz,114,410,TKO (Punches),2,2:14
"Nov 4, 2023",UFC Fight Night 231 - Almeida vs. Lewis,Lightweight,Marc Diakiese,155,-155,Kaue Fernandes,155,130,Decision (Split),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Lightweight,Bobby Green,156,300,Grant Dawson,156,-425,KO (Punches),1,0:33
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Middleweight,Joe Pyfer,185,-470,Abdul Razak Alhassan,184.5,360,Technical Submission (Arm-Triangle Choke),2,2:05
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Welterweight,Joaquin Buckley,170,-175,Alex Morono,170.5,145,Decision (Unanimous),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Lightweight,Drew Dober,155.5,-470,Ricky Glenn,155.5,360,TKO (Punches),1,2:36
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Featherweight,Bill Algeo,146,-135,Alexander Hernandez,145.5,114,Decision (Unanimous),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Strawweight,Karolina Kowalkiewicz,116,-162,Diana Belbita,115.5,136,Decision (Unanimous),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Flyweight,Nathan Maness,126,190,Mateus Mendonca,125.5,-230,TKO (Punches),1,4:40
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Strawweight,Vanessa Demopoulos,116,270,Kanako Murata,115.5,-340,Decision (Unanimous),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Bantamweight,Qileng Aori,136,-112,Johnny Munoz Jr.,136,-108,Decision (Unanimous),3,5:00
"Oct 7, 2023",UFC Fight Night 229 - Dawson vs. Green,Flyweight,J.J. Aldrich,125.5,-102,Montana De La Rosa,126,-118,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Featherweight,Edson Barboza,146,140,Sodiq Yusuff,145.5,-166,Decision (Unanimous),5,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Flyweight,Viviane Araujo,126,110,Jennifer Maia,125,-130,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Bantamweight,Jonathan Martinez,136,-112,Adrian Yanez,135.5,-108,TKO (Leg Kick),2,2:26
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Middleweight,Michel Pereira,186,-180,Andre Petroski,186,150,TKO (Punches),1,1:06
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,140lb Catchweight,Christian Rodriguez,140: Missed Weight,-142,Cameron Saaiman,135.5,120,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Featherweight,Darren Elkins,146,160,T.J. Brown,146,-192,Submission (Rear-Naked Choke),3,2:23
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Bantamweight,Tainara Lisboa,133.5,-380,Ravena Oliveira,133,300,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Lightweight,Terrance McKinney,155.5,-450,Brendon Marotte,155.5,300,TKO (Knee and Punches),1,0:20
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Bantamweight,Melissa Mullins,135.5,-148,Irina Alekseeva,135,124,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Bantamweight,Chris Gutierrez,136,-250,Heili Alateng,136,200,Decision (Unanimous),3,5:00
"Oct 14, 2023",UFC Fight Night 230 - Yusuff vs. Barboza,Strawweight,Emily Ducote,115.5,-340,Ashley Yoder,115.5,270,Decision (Unanimous),3,5:00
"Oct 21, 2023",UFC 294 - Makhachev vs. Volkanovski 2,Lightweight Title Fight,Islam Makhachev,155,-245,Alexander Volkanovski,154.5,200,KO (Head Kick and Punches),1,3:06
"Oct 21, 2023",UFC 294 - Makhachev vs. Volkanovski 2,Middleweight,Khamzat Chimaev,185.5,-285,Kamaru Usman,184.5,230,Decision (Majority),3,5:00
"Oct 21, 2023",UFC 294 - Makhachev vs. Volkanovski 2,Light Heavyweight,Magomed Ankalaev,206,-355,Johnny Walker,205,280,No Contest (Illegal Knee),1,3:13
"Oct 21, 2023",UFC 294 - Makhachev vs. Volkanovski 2,Middleweight,Ikram Aliskerov,186,-535,Warlley Alves,185.5,410,TKO (Flying Knee and Punches),1,2:07
"Oct 21, 2023",UFC 294 - Makhachev vs. Volkanovski 2,Bantamweight,Said Nurmagomedov,136,-225,Muin Gafurov,135.5,185,Submission (Guillotine Choke),1,1:13
