date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Middleweight,Jack Hermansson,185,200,Joe Pyfer,185.5,-245,Decision (Unanimous),5,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Featherweight,Dan Ige,146,-175,Andre Fili,146,145,KO (Punches),1,2:43
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,188lb Catchweight,Ihor Potieria,187.5: Missed Weight,164,Robert Bryczek,185.5,-198,Decision (Unanimous),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Middleweight,Gregory Rodrigues,186,-245,Brad Tavares,186,200,TKO (Punches),3,0:55
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Lightweight,Michael Johnson,156,-125,Darrius Flowers,156,105,Decision (Unanimous),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Middleweight,Rodolfo Vieira,185.5,-120,Armen Petrosyan,186,100,Submission (Arm-Triangle Choke),1,4:48
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Welterweight,Carlos Prates,171,-270,Trevin Giles,171,220,KO (Punch),2,4:03
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Lightweight,Bolaji Oki,156,NA,Timothy Cuamba,155,NA,Decision (Split),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Strawweight,Konklak Suphisara,115,-265,Bruna Brasil,115.5,215,Decision (Unanimous),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Light Heavyweight,Marcin Prachnio,204.5,180,Devin Clark,204.5,-218,Decision (Unanimous),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Welterweight,Max Griffin,170.5,142,Jeremiah Wells,171,-170,Decision (Split),3,5:00
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Light Heavyweight,Bogdan Guskov,205.5,110,Zac Pauga,206,-130,KO (Punches),1,3:38
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Featherweight,Hyder Amil,145.5,-185,Fernie Garcia,146,154,TKO (Punches),2,2:12
"Feb 10, 2024",UFC Fight Night 236 - Hermansson vs. Pyfer,Bantamweight,Qileng Aori,136,205,Daniel Marcos,136,-250,No Contest (Accidental Groin Kick),2,3:28
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Middleweight,Nassourdine Imavov,185,-166,Roman Dolidze,186,140,Decision (Majority),5,5:00
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Lightweight,Renato Carneiro,156,-155,Drew Dober,156,130,Decision (Unanimous),3,5:00
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Welterweight,Randy Brown,171,-245,Muslim Salikhov,171,200,KO (Punches),1,3:17
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Flyweight,Natalia Silva,125.5,-345,Viviane Araujo,126,275,Decision (Unanimous),3,5:00
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Middleweight,Makhmud Muradov,185.5,150,Aliaskhab Khizriev,186,-180,No Contest (Accidental Eye Poke),1,0:11
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Welterweight,Charlie Radtke,170.5,164,Gilbert Urbina,171,-198,TKO (Punches),1,4:47
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Strawweight,Molly McCann,116,-285,Diana Belbita,116,230,Submission (Armbar),1,4:59
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Flyweight,Charles Johnson,125.5,164,Azat Maksum,126,-198,Decision (Unanimous),3,5:00
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Welterweight,Themba Gorimbo,170.5,-245,Pete Rodriguez,170.5,200,TKO (Punches),1,0:32
"Feb 3, 2024",UFC Fight Night 235 - Dolidze vs. Imavov,Featherweight,Jeong Yeong Lee,146,-148,Blake Bilder,144.5,124,Decision (Unanimous),3,5:00
