date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Flyweight,Alex Perez,126,NA,Matheus Nicolau,125.5,NA,KO (Punch),2,2:16
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Light Heavyweight,Bogdan Guskov,204.5,NA,Ryan Spann,205.5,NA,TKO (Punches),2,3:16
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Flyweight,Karine Silva,125.5,NA,Ariane Lipski da Silva,126,NA,Decision (Unanimous),3,5:00
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Heavyweight,Jhonata Diniz,255,NA,Austen Lane,254.5,NA,KO (Punches),2,2:12
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,149lb Catchweight,David Onama,148.5: Missed Weight,NA,Jonathan Pearce,146,NA,Decision (Unanimous),3,5:00
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Welterweight,Uros Medic,171,NA,Tim Means,171,NA,TKO (Punches),1,2:09
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Bantamweight,Victor Henry,135.5,NA,Rani Yahya,136,NA,TKO (Head Kick and Punches),3,2:36
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Lightweight,Austin Hubbard,156,NA,Michal Figlak,155,NA,Decision (Unanimous),3,5:00
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Heavyweight,Don'Tale Mayes,264,NA,Caio Machado,251.5,NA,Decision (Unanimous),3,5:00
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Strawweight,Ketlen Souza,115.5,NA,Marnic Mann,115.5,NA,Decision (Unanimous),3,5:00
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,157lb Catchweight,Chris Padilla,NA,NA,James Llontop,154.5,NA,Submission (Rear-Naked Choke),1,4:33
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Flyweight,Ivana Petrovic,126,NA,Na Liang,126,NA,Submission (Arm-Triangle Choke),3,1:29
"Apr 27, 2024",UFC on ESPN 55 - Nicolau vs. Perez,Lightweight,Maheshate Hayisaer,155.5,NA,Gabriel Benitez,155,NA,Decision (Split),3,5:00
"Apr 13, 2024",UFC 300 - Pereira vs. Hill,Light Heavyweight Title Fight,Alex Pereira,205,-130,Jamahal Hill,205,110,KO (Punches),1,3:14
