date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Oct 22, 2004",UFC 50 - The War of '04,Light Heavyweight,Tito Ortiz,,,Patrick Cote,,,Decision (Unanimous),3,5:00
"Oct 22, 2004",UFC 50 - The War of '04,Middleweight,Rich Franklin,,,Jorge Rivera,,,Submission (Armbar),3,4:28
"Oct 22, 2004",UFC 50 - The War of '04,Welterweight Title Fight,Matt Hughes,,,Georges St. Pierre,,,Submission (Armbar),1,4:59
"Oct 22, 2004",UFC 50 - The War of '04,Welterweight,Frank Trigg,,,Renato Verissimo,,,TKO (Elbows),2,2:11
"Oct 22, 2004",UFC 50 - The War of '04,Middleweight,Evan Tanner,,,Robbie Lawler,,,Submission (Triangle Choke),1,2:22
"Oct 22, 2004",UFC 50 - The War of '04,Middleweight,Ivan Salaverry,,,Tony Fryklund,,,Submission (Body Lock),1,1:36
"Oct 22, 2004",UFC 50 - The War of '04,Light Heavyweight,Travis Lutter,,,Marvin Eastman,,,KO (Punch),2,0:43
"Aug 21, 2004",UFC 49 - Unfinished Business,Light Heavyweight Title Fight,Randy Couture,,,Vitor Belfort,,,TKO (Doctor Stoppage),3,5:00
"Aug 21, 2004",UFC 49 - Unfinished Business,Welterweight,Joe Riggs,,,Joe Doerksen,,,TKO (Submission to Elbows),2,3:39
"Aug 21, 2004",UFC 49 - Unfinished Business,Light Heavyweight,Chuck Liddell,,,Vernon White,,,KO (Punch),1,4:05
"Aug 21, 2004",UFC 49 - Unfinished Business,Middleweight,David Terrell,,,Matt Lindland,,,KO (Punches),1,0:24
"Aug 21, 2004",UFC 49 - Unfinished Business,Heavyweight,Justin Eilers,,,Mike Kyle,,,KO (Punch),1,1:14
"Aug 21, 2004",UFC 49 - Unfinished Business,Welterweight,Chris Lytle,,,Ronald Jhun,,,Submission (Guillotine Choke),2,1:17
"Aug 21, 2004",UFC 49 - Unfinished Business,Welterweight,Karo Parisyan,,,Nick Diaz,,,Decision (Split),3,5:00
"Aug 21, 2004",UFC 49 - Unfinished Business,Lightweight,Yves Edwards,,,Josh Thomson,,,KO (Flying Head Kick and Punches),1,4:32
"Jun 19, 2004",UFC 48 - Payback,,Ken Shamrock,,,Kimo Leopoldo,,,KO (Knee),1,1:26
"Jun 19, 2004",UFC 48 - Payback,,Frank Trigg,,,Dennis Hallman,,,TKO (Punches),1,4:15
"Jun 19, 2004",UFC 48 - Payback,Heavyweight Title Fight,Frank Mir,,,Tim Sylvia,,,Technical Submission (Armbar),1,0:50
"Jun 19, 2004",UFC 48 - Payback,,Matt Hughes,,,Renato Verissimo,,,Decision (Unanimous),3,5:00
"Jun 19, 2004",UFC 48 - Payback,,Evan Tanner,,,Phil Baroni,,,Decision (Unanimous),3,5:00
"Jun 19, 2004",UFC 48 - Payback,Lightweight,Matt Serra,,,Ivan Menjivar,,,Decision (Unanimous),3,5:00
"Jun 19, 2004",UFC 48 - Payback,,Trevor Prangley,,,Curtis Stout,,,Submission (Scarf Hold),2,1:05
"Jun 19, 2004",UFC 48 - Payback,,Georges St. Pierre,,,Jay Hieron,,,TKO (Punches),1,1:42
"Apr 2, 2004",UFC 47 - It's On,Light Heavyweight,Chuck Liddell,,,Tito Ortiz,,,KO (Punches),2,0:38
"Apr 2, 2004",UFC 47 - It's On,Welterweight,Chris Lytle,,,Tiki Ghosn,,,Submission (Bulldog Choke),2,1:55
"Apr 2, 2004",UFC 47 - It's On,Lightweight,Yves Edwards,,,Hermes Franca,,,Decision (Split),3,5:00
"Apr 2, 2004",UFC 47 - It's On,Heavyweight,Andrei Arlovski,,,Wesley Correira,,,TKO (Punches),2,1:15
"Apr 2, 2004",UFC 47 - It's On,Welterweight,Nick Diaz,,,Robbie Lawler,,,KO (Punch),2,1:31
"Apr 2, 2004",UFC 47 - It's On,Heavyweight,Mike Kyle,,,Wes Sims,,,KO (Knee and Punches),1,4:59
"Apr 2, 2004",UFC 47 - It's On,Heavyweight,Jonathan Wiezorek,,,Wade Shipp,,,TKO (Punches),1,4:40
"Apr 2, 2004",UFC 47 - It's On,Lightweight,Genki Sudo,,,Mike Thomas Brown,,,Submission (Triangle Armbar),1,3:31
"Jan 31, 2004",UFC 46 - Supernatural,Light Heavyweight Title Fight,Vitor Belfort,,,Randy Couture,,,TKO (Doctor Stoppage),1,0:49
"Jan 31, 2004",UFC 46 - Supernatural,WelterweightTitle Fight,B.J. Penn,,,Matt Hughes,,,Submission (Rear-Naked Choke),1,4:39
"Jan 31, 2004",UFC 46 - Supernatural,,Renato Verissimo,,,Carlos Newton,,,Decision (Unanimous),3,5:00
"Jan 31, 2004",UFC 46 - Supernatural,,Frank Mir,,,Wes Sims,,,KO (Punches),2,4:21
"Jan 31, 2004",UFC 46 - Supernatural,,Lee Murray,,,Jorge Rivera,,,Submission (Triangle Armbar),1,1:45
"Jan 31, 2004",UFC 46 - Supernatural,,Georges St. Pierre,,,Karo Parisyan,,,Decision (Unanimous),3,5:00
"Jan 31, 2004",UFC 46 - Supernatural,,Josh Thomson,,,Hermes Franca,,,Decision (Unanimous),3,5:00
