date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Diego Sanchez,,,Joe Riggs,,,KO (Knee),1,1:45
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Josh Koscheck,,,Jeff Joslin,,,Decision (Unanimous),3,5:00
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Karo Parisyan,,,Drew Fickett,,,Decision (Unanimous),3,5:00
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Marcus Davis,,,Shonie Carter,,,Decision (Unanimous),3,5:00
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,David Heath,,,Victor Valimaki,,,Decision (Split),3,5:00
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Alan Belcher,,,Jorge Santiago,,,KO (Head Kick),3,2:45
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Luigi Fioravanti,,,Dave Menne,,,TKO (Punches),1,4:44
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Brock Larson,,,Keita Nakamura,,,Decision (Unanimous),3,5:00
"Dec 13, 2006",UFC Fight Night 7 - Sanchez vs. Riggs,,Logan Clark,,,Steve Byrnes,,,Decision (Unanimous),3,5:00
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,Light Heavyweight Title Fight,Chuck Liddell,,,Tito Ortiz,,,TKO (Punches),3,3:59
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Keith Jardine,,,Forrest Griffin,,,TKO (Punches),1,4:41
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Jason MacDonald,,,Chris Leben,,,Submission (Guillotine Choke),2,4:03
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Andrei Arlovski,,,Marcio Cruz,,,KO (Punches),1,3:15
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Michael Bisping,,,Eric Schafer,,,TKO (Punches),1,4:24
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Thiago Alves,,,Tony DeSouza,,,KO (Knee),2,1:10
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Gabriel Gonzaga,,,Carmelo Marrero,,,Submission (Armbar),1,3:22
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Yushin Okami,,,Rory Singer,,,TKO (Submission to Punches),3,4:03
"Dec 30, 2006",UFC 66 - Liddell vs. Ortiz 2,,Christian Wellisch,,,Anthony Perosh,,,Decision (Unanimous),3,5:00
"Oct 14, 2006",UFC 64 - Unstoppable,Middleweight Title Fight,Anderson Silva,,,Rich Franklin,,,KO (Knee),1,2:59
"Oct 14, 2006",UFC 64 - Unstoppable,Lightweight Title Fight,Sean Sherk,,,Kenny Florian,,,Decision (Unanimous),5,5:00
"Oct 14, 2006",UFC 64 - Unstoppable,,Jon Fitch,,,Kuniyoshi Hironaka,,,Decision (Unanimous),3,5:00
"Oct 14, 2006",UFC 64 - Unstoppable,,Carmelo Marrero,,,Cheick Kongo,,,Decision (Split),3,5:00
"Oct 14, 2006",UFC 64 - Unstoppable,,Spencer Fisher,,,Dan Lauzon,,,TKO (Punches),1,4:38
"Oct 14, 2006",UFC 64 - Unstoppable,,Yushin Okami,,,Kalib Starnes,,,TKO (Punches),3,1:40
"Oct 14, 2006",UFC 64 - Unstoppable,,Clay Guida,,,Justin James,,,Submission (Rear-Naked Choke),2,4:42
"Oct 14, 2006",UFC 64 - Unstoppable,,Kurt Pellegrino,,,Junior Assuncao,,,Submission (Rear-Naked Choke),1,2:04
"Mar 4, 2006",UFC 58 - USA vs. Canada,Middleweight Title Fight,Rich Franklin,,,David Loiseau,,,Decision (Unanimous),5,5:00
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Mike Swick,,,Steve Vigneault,,,Submission (Guillotine Choke),1,2:09
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Georges St. Pierre,,,B.J. Penn,,,Decision (Split),3,5:00
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Nate Marquardt,,,Joe Doerksen,,,Decision (Unanimous),3,5:00
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Mark Hominick,,,Yves Edwards,,,Submission (Triangle Armbar),2,1:52
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Sam Stout,,,Spencer Fisher,,,Decision (Split),3,5:00
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Jason Lambert,,,Rob MacDonald,,,Submission (Kimura),1,1:54
"Mar 4, 2006",UFC 58 - USA vs. Canada,,Tom Murphy,,,Icho Larenas,,,TKO (Punches),3,1:59
"Nov 18, 2006",UFC 65 - Bad Intentions,Welterweight Title Fight,Georges St. Pierre,,,Matt Hughes,,,TKO (Head Kick and Punches),2,1:25
"Nov 18, 2006",UFC 65 - Bad Intentions,Heavyweight Title Fight,Tim Sylvia,,,Jeff Monson,,,Decision (Unanimous),5,5:00
"Nov 18, 2006",UFC 65 - Bad Intentions,,Drew McFedries,,,Alessio Sakara,,,TKO (Punches),1,4:07
"Nov 18, 2006",UFC 65 - Bad Intentions,,Brandon Vera,,,Frank Mir,,,TKO (Punches),1,1:09
"Nov 18, 2006",UFC 65 - Bad Intentions,,Joe Stevenson,,,Dokonjonosuke Mishima,,,Submission (Guillotine Choke),1,2:07
"Nov 18, 2006",UFC 65 - Bad Intentions,,Nick Diaz,,,Gleison Tibau,,,TKO (Punches),2,2:27
"Nov 18, 2006",UFC 65 - Bad Intentions,,Antoni Hardonk,,,Sherman Pendergarst,,,KO (Punch),1,3:15
"Nov 18, 2006",UFC 65 - Bad Intentions,,James Irvin,,,Hector Ramirez,,,TKO (Kick to the Body and Elbows),2,2:36
"Nov 18, 2006",UFC 65 - Bad Intentions,,Jake O'Brien,,,Josh Schockman,,,Decision (Unanimous),3,5:00
"Jul 8, 2006",UFC 61 - Bitter Rivals,Heavyweight Title Fight,Tim Sylvia,,,Andrei Arlovski,,,Decision (Unanimous),5,5:00
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Joshua Burkman,,,Josh Neer,,,Decision (Unanimous),3,5:00
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Tito Ortiz,,,Ken Shamrock,,,TKO (Elbows),1,1:18
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Frank Mir,,,Dan Christison,,,Decision (Unanimous),3,5:00
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Joe Stevenson,,,Yves Edwards,,,TKO (Doctor Stoppage),2,5:00
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Hermes Franca,,,Joe Jordan,,,Submission (Triangle Choke),3,0:47
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Jeff Monson,,,Anthony Perosh,,,TKO (Punches),1,2:42
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Cheick Kongo,,,Gilbert Aldana,,,TKO (Doctor Stoppage),1,4:13
"Jul 8, 2006",UFC 61 - Bitter Rivals,,Drew Fickett,,,Kurt Pellegrino,,,Submission (Rear-Naked Choke),3,1:20
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,Welterweight Title Fight,Matt Hughes,,,B.J. Penn,,,TKO (Punches),3,3:53
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Mike Swick,,,David Loiseau,,,Decision (Unanimous),3,5:00
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Melvin Guillard,,,Gabe Ruediger,,,KO (Punch to the Body),2,1:01
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Rashad Evans,,,Jason Lambert,,,KO (Punches),2,2:22
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Joe Lauzon,,,Jens Pulver,,,KO (Punch),1,0:48
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Roger Huerta,,,Jason Dent,,,Decision (Unanimous),3,5:00
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Eddie Sanchez,,,Mario Neto,,,KO (Punches),2,0:17
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Jorge Gurgel,,,Danny Abbadi,,,Decision (Unanimous),3,5:00
"Sep 23, 2006",UFC 63 - Hughes vs. Penn 2,,Tyson Griffin,,,David Lee,,,Submission (Rear-Naked Choke),1,1:50
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Anderson Silva,,,Chris Leben,,,KO (Knee),1,0:49
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Rashad Evans,,,Stephan Bonnar,,,Decision (Majority),3,5:00
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Mark Hominick,,,Jorge Gurgel,,,Decision (Unanimous),3,5:00
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Jonathan Goulet,,,Luke Cummo,,,Decision (Majority),3,5:00
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Josh Koscheck,,,Dave Menne,,,Decision (Unanimous),3,5:00
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Jason Lambert,,,Branden Lee Hinkle,,,TKO (Punches),1,5:00
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Jon Fitch,,,Thiago Alves,,,TKO (Upkick and Punches),2,4:37
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Rob MacDonald,,,Kristian Rothaermel,,,Submission (Armbar),1,4:01
"Jun 28, 2006",UFC Fight Night 5 - Leben vs. Silva,,Jorge Santiago,,,Justin Levens,,,KO (Knee),1,2:13
"Apr 15, 2006",UFC 59 - Reality Check,,Tim Sylvia,,,Andrei Arlovski,,,TKO (Punches),1,2:43
"Apr 15, 2006",UFC 59 - Reality Check,,Sean Sherk,,,Nick Diaz,,,Decision (Unanimous),3,5:00
"Apr 15, 2006",UFC 59 - Reality Check,,Tito Ortiz,,,Forrest Griffin,,,Decision (Split),3,5:00
"Apr 15, 2006",UFC 59 - Reality Check,,Evan Tanner,,,Justin Levens,,,Submission (Triangle Choke),1,3:14
"Apr 15, 2006",UFC 59 - Reality Check,,Jeff Monson,,,Marcio Cruz,,,Decision (Split),3,5:00
"Apr 15, 2006",UFC 59 - Reality Check,,Karo Parisyan,,,Nick Thompson,,,TKO (Submission to Punches),1,4:44
"Apr 15, 2006",UFC 59 - Reality Check,,David Terrell,,,Scott Smith,,,Submission (Rear-Naked Choke),1,3:08
"Apr 15, 2006",UFC 59 - Reality Check,,Jason Lambert,,,Terry Martin,,,TKO (Punches),2,2:37
"Apr 15, 2006",UFC 59 - Reality Check,,Thiago Alves,,,Derrick Noble,,,TKO (Punches),1,2:54
"Oct 7, 2005",UFC 55 - Fury,Heavyweight Title Fight,Andrei Arlovski,,,Paul Buentello,,,KO (Punch),1,0:15
"Oct 7, 2005",UFC 55 - Fury,Heavyweight,Branden Lee Hinkle,,,Sean Gannon,,,TKO (Punches),1,4:14
"Oct 7, 2005",UFC 55 - Fury,Light Heavyweight,Forrest Griffin,,,Elvis Sinosic,,,TKO (Punches),1,3:22
"Oct 7, 2005",UFC 55 - Fury,Light Heavyweight,Renato Sobral,,,Chael Sonnen,,,Submission (Triangle Choke),2,1:20
"Oct 7, 2005",UFC 55 - Fury,Welterweight,Joe Riggs,,,Chris Lytle,,,TKO (Doctor Stoppage),2,2:00
"Oct 7, 2005",UFC 55 - Fury,Middleweight,Jorge Rivera,,,Dennis Hallman,,,Decision (Unanimous),3,5:00
"Oct 7, 2005",UFC 55 - Fury,Heavyweight,Marcio Cruz,,,Keigo Kunihara,,,Submission (Rear-Naked Choke),2,1:02
"Oct 7, 2005",UFC 55 - Fury,Light Heavyweight,Alessio Sakara,,,Ron Faircloth,,,No Contest (Sakara Kicked in Groin),2,0:10
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Lightweight,Kenny Florian,,,Sam Stout,,,Submission (Rear-Naked Choke),1,1:46
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Light Heavyweight,Michael Bisping,,,Josh Haynes,,,TKO (Punches),2,4:14
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Middleweight,Kendall Grove,,,Ed Herman,,,Decision (Unanimous),3,5:00
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Light Heavyweight,Keith Jardine,,,Wilson Gouveia,,,Decision (Unanimous),3,5:00
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Middleweight,Rory Singer,,,Ross Pointon,,,Submission (Triangle Choke),1,0:44
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Middleweight,Kalib Starnes,,,Danny Abbadi,,,Submission (Rear-Naked Choke),1,2:56
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Middleweight,Luigi Fioravanti,,,Solomon Hutcherson,,,KO (Punch),1,4:15
"Jun 24, 2006",UFC - The Ultimate Fighter 3 Finale,Light Heavyweight,Matt Hamill,,,Jesse Forbes,,,TKO (Punches),1,4:47
