date,event,weight_class,winner,winner_weight,winner_odds,loser,loser_weight,loser_odds,method,rnd,time
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Heavyweight,Antonio Silva,,,Travis Browne,,,TKO (Punches),1,3:27
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Welterweight,Jake Ellenberger,,,Jay Hieron,,,Decision (Unanimous),3,5:00
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Flyweight,John Dodson,,,Jussier Formiga,,,TKO (Punches),2,4:35
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Welterweight,Justin Edwards,,,Josh Neer,,,Technical Submission (Guillotine Choke),1,0:45
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Lightweight,Michael Johnson,,,Danny Castillo,,,KO (Punches),2,1:06
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Welterweight,Mike Pierce,,,Aaron Simpson,,,KO (Punches),2,0:29
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Lightweight,Marcus LeVesseur,,,Carlo Prater,,,Decision (Split),3,5:00
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Lightweight,Jacob Volkmann,,,Shane Roller,,,Submission (Rear-Naked Choke),1,2:38
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Featherweight,Diego Nunes,,,Bart Palaszewski,,,Decision (Unanimous),3,5:00
"Oct 5, 2012",UFC on FX 5 - Browne vs. Bigfoot,Flyweight,Darren Uyenoyama,,,Phil Harris,,,Submission (Rear-Naked Choke),2,3:38
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Lightweight Title Fight,Benson Henderson,,,Frankie Edgar,,,Decision (Split),5,5:00
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,158lb Catchweight,Donald Cerrone,,,Melvin Guillard,,,KO (Head Kick and Punch),1,1:16
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Middleweight,Jake Shields,,,Ed Herman,,,No Contest (Overturned by Commission),3,5:00
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Middleweight,Yushin Okami,,,Buddy Roberts,,,TKO (Punches),2,3:09
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Featherweight,Max Holloway,,,Justin Lawrence,,,TKO (Punches),2,4:49
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Featherweight,Dennis Bermudez,,,Tommy Hayden,,,Submission (Guillotine Choke),1,4:43
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Middleweight,Michael Kuiper,,,Jared Hamman,,,TKO (Punches),2,2:16
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Featherweight,Erik Perez,,,Ken Stone,,,KO (Punches),1,0:17
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Bantamweight,Chico Camus,,,Dustin Pague,,,Decision (Unanimous),3,5:00
"Aug 11, 2012",UFC 150 - Henderson vs. Edgar 2,Featherweight,Nik Lentz,,,Eiji Mitsuoka,,,TKO (Punches),1,3:45
"Dec 29, 2012",UFC 155 - Dos Santos vs. Velasquez 2,Heavyweight Title Fight,Cain Velasquez,,,Junior dos Santos,,,Decision (Unanimous),5,5:00
"Dec 29, 2012",UFC 155 - Dos Santos vs. Velasquez 2,Lightweight,Jim Miller,,,Joe Lauzon,,,Decision (Unanimous),3,5:00
"Dec 29, 2012",UFC 155 - Dos Santos vs. Velasquez 2,Middleweight,Costas Philippou,,,Tim Boetsch,,,TKO (Punches),3,2:11
