Event Type,Week,Away Team,Home Team,Closing Spread,Total,Away Implied Score,Home Implied Score,Favorite,Actual winner,Away Score,Home Score,Favorite Covered,Post Game Spread,Underdog won,Road dog,Road dog won,Home dog,Home dog won,Actual Total,Over/Under
Regular Season,1,HOU,KC,9.0,53.0,22.0,31.0,KC,KC,20.0,34.0,True,5.0,False,True,False,False,False,54.0,Over
Regular Season,1,SEA,ATL,1.0,49.5,24.25,25.25,ATL,SEA,38.0,25.0,False,14.0,True,True,True,False,False,63.0,Over
Regular Season,1,NYJ,BUF,6.5,39.5,16.5,23.0,BUF,BUF,17.0,27.0,True,3.5,False,True,False,False,False,44.0,Over
Regular Season,1,IND,JAC,7.0,44.5,25.75,18.75,IND,JAC,20.0,27.0,False,14.0,True,False,False,True,True,47.0,Over
Regular Season,1,CHI,DET,2.0,42.5,20.25,22.25,DET,CHI,27.0,23.0,False,6.0,True,True,True,False,False,50.0,Over
Regular Season,1,CLE,BAL,7.0,47.5,20.25,27.25,BAL,BAL,6.0,38.0,True,25.0,False,True,False,False,False,44.0,Under
Regular Season,1,LV,CAR,3.0,48.0,25.5,22.5,LV,LV,34.0,30.0,True,1.0,False,False,False,True,False,64.0,Over
Regular Season,1,PHI,WAS,5.5,41.5,23.5,18.0,PHI,WAS,17.0,27.0,False,15.5,True,False,False,True,True,44.0,Over
Regular Season,1,MIA,NE,7.0,41.5,17.25,24.25,NE,NE,11.0,21.0,True,3.0,False,True,False,False,False,32.0,Under
Regular Season,1,GB,MIN,1.5,44.5,21.5,23.0,MIN,GB,43.0,34.0,False,10.5,True,True,True,False,False,77.0,Over
Regular Season,1,LAC,CIN,2.5,41.5,22.0,19.5,LAC,LAC,16.0,13.0,True,0.5,False,False,False,True,False,29.0,Under
Regular Season,1,ARI,SF,6.5,49.0,21.25,27.75,SF,ARI,24.0,20.0,False,10.5,True,True,True,False,False,44.0,Under
Regular Season,1,TB,NO,4.0,48.0,22.0,26.0,NO,NO,23.0,34.0,True,7.0,False,True,False,False,False,57.0,Over
Regular Season,1,DAL,LAR,1.5,51.5,25.0,26.5,LAR,LAR,17.0,20.0,True,1.5,False,True,False,False,False,37.0,Under
Regular Season,1,PIT,NYG,6.0,44.0,25.0,19.0,PIT,PIT,26.0,16.0,True,4.0,False,False,False,True,False,42.0,Under
Regular Season,1,TEN,DEN,3.0,41.5,22.25,19.25,TEN,TEN,16.0,14.0,False,1.0,False,False,False,True,False,30.0,Under
Regular Season,2,CIN,CLE,6.0,44.5,19.25,25.25,CLE,CLE,30.0,35.0,False,1.0,False,True,False,False,False,65.0,Over
Regular Season,2,CAR,TB,7.5,47.0,19.75,27.25,TB,TB,17.0,31.0,True,6.5,False,True,False,False,False,48.0,Over
Regular Season,2,NYG,CHI,4.5,42.5,19.0,23.5,CHI,CHI,13.0,17.0,False,0.5,False,True,False,False,False,30.0,Under
Regular Season,2,LAR,PHI,2.0,46.0,22.0,24.0,PHI,LAR,37.0,19.0,False,20.0,True,True,True,False,False,56.0,Over
Regular Season,2,JAC,TEN,7.0,44.5,18.75,25.75,TEN,TEN,30.0,33.0,False,4.0,False,True,False,False,False,63.0,Over
Regular Season,2,BUF,MIA,5.5,42.5,24.0,18.5,BUF,BUF,31.0,28.0,False,2.5,False,False,False,True,False,59.0,Over
Regular Season,2,DEN,PIT,6.5,41.0,17.25,23.75,PIT,PIT,21.0,26.0,False,1.5,False,True,False,False,False,47.0,Over
Regular Season,2,DET,GB,7.0,51.0,22.0,29.0,GB,GB,21.0,42.0,True,14.0,False,True,False,False,False,63.0,Over
Regular Season,2,MIN,IND,3.5,49.0,22.75,26.25,IND,IND,11.0,28.0,True,13.5,False,True,False,False,False,39.0,Under
Regular Season,2,ATL,DAL,3.0,53.5,25.25,28.25,DAL,DAL,39.0,40.0,False,2.0,False,True,False,False,False,79.0,Over
Regular Season,2,SF,NYJ,7.0,41.5,24.25,17.25,SF,SF,31.0,13.0,True,11.0,False,False,False,True,False,44.0,Over
Regular Season,2,WAS,ARI,7.0,46.5,19.75,26.75,ARI,ARI,15.0,30.0,True,8.0,False,True,False,False,False,45.0,Under
Regular Season,2,BAL,HOU,7.5,49.0,28.25,20.75,BAL,BAL,33.0,16.0,True,9.5,False,False,False,True,False,49.0,Push
Regular Season,2,KC,LAC,8.5,47.0,27.75,19.25,KC,KC,23.0,20.0,False,5.5,False,False,False,True,False,43.0,Under
Regular Season,2,NE,SEA,4.5,45.0,20.25,24.75,SEA,SEA,30.0,35.0,True,0.5,False,True,False,False,False,65.0,Over
Regular Season,2,NO,LV,4.0,47.5,25.75,21.75,NO,LV,24.0,34.0,False,14.0,True,False,False,True,True,58.0,Over
Regular Season,3,MIA,JAC,2.5,49.0,23.25,25.75,JAC,MIA,31.0,13.0,False,20.5,True,True,True,False,False,44.0,Under
Regular Season,3,LAR,BUF,1.5,46.5,22.5,24.0,BUF,BUF,32.0,35.0,True,1.5,False,True,False,False,False,67.0,Over
Regular Season,3,CIN,PHI,5.5,46.5,20.5,26.0,PHI,CIN,23.0,23.0,False,5.5,False,True,False,False,False,46.0,Under
Regular Season,3,LV,NE,7.0,47.0,20.0,27.0,NE,NE,20.0,36.0,True,9.0,False,True,False,False,False,56.0,Over
Regular Season,3,HOU,PIT,3.5,46.5,21.5,25.0,PIT,PIT,21.0,28.0,True,3.5,False,True,False,False,False,49.0,Over
Regular Season,3,SF,NYG,3.0,43.5,23.25,20.25,SF,SF,36.0,9.0,True,24.0,False,False,False,True,False,45.0,Over
Regular Season,3,CHI,ATL,2.5,46.0,21.75,24.25,ATL,CHI,30.0,26.0,False,6.5,True,True,True,False,False,56.0,Over
Regular Season,3,TEN,MIN,2.5,49.0,25.75,23.25,TEN,TEN,31.0,30.0,False,1.5,False,False,False,True,False,61.0,Over
Regular Season,3,WAS,CLE,7.0,45.0,19.0,26.0,CLE,CLE,20.0,34.0,True,7.0,False,True,False,False,False,54.0,Over
Regular Season,3,NYJ,IND,12.0,44.0,16.0,28.0,IND,IND,7.0,36.0,True,17.0,False,True,False,False,False,43.0,Under
Regular Season,3,CAR,LAC,6.0,43.5,18.75,24.75,LAC,CAR,21.0,16.0,False,11.0,True,True,True,False,False,37.0,Under
Regular Season,3,DET,ARI,5.0,55.5,25.25,30.25,ARI,DET,26.0,23.0,False,8.0,True,True,True,False,False,49.0,Under
Regular Season,3,DAL,SEA,5.5,58.0,26.25,31.75,SEA,SEA,31.0,38.0,True,1.5,False,True,False,False,False,69.0,Over
Regular Season,3,TB,DEN,6.0,42.0,24.0,18.0,TB,TB,28.0,10.0,True,12.0,False,False,False,True,False,38.0,Under
Regular Season,3,GB,NO,3.5,52.0,24.25,27.75,NO,GB,37.0,30.0,False,10.5,True,True,True,False,False,67.0,Over
Regular Season,3,KC,BAL,3.5,55.0,25.75,29.25,BAL,KC,34.0,20.0,False,17.5,True,True,True,False,False,54.0,Under
Regular Season,4,DEN,NYJ,1.0,41.5,21.25,20.25,DEN,DEN,37.0,28.0,True,8.0,False,False,False,True,False,65.0,Over
Regular Season,4,SEA,MIA,4.5,55.0,29.75,25.25,SEA,SEA,31.0,23.0,True,3.5,False,False,False,True,False,54.0,Under
Regular Season,4,JAC,CIN,1.0,50.0,24.5,25.5,CIN,CIN,25.0,33.0,True,7.0,False,True,False,False,False,58.0,Over
Regular Season,4,BAL,WAS,14.0,44.5,29.25,15.25,BAL,BAL,31.0,17.0,False,Push,False,False,False,True,False,48.0,Over
Regular Season,4,CLE,DAL,3.5,56.5,26.5,30.0,DAL,CLE,49.0,38.0,False,14.5,True,True,True,False,False,87.0,Over
Regular Season,4,MIN,HOU,3.5,53.0,24.75,28.25,HOU,MIN,31.0,23.0,False,11.5,True,True,True,False,False,54.0,Over
Regular Season,4,ARI,CAR,3.0,52.5,27.75,24.75,ARI,CAR,21.0,31.0,False,13.0,True,False,False,True,True,52.0,Under
Regular Season,4,LAC,TB,7.5,42.5,17.5,25.0,TB,TB,31.0,38.0,False,0.5,False,True,False,False,False,69.0,Over
Regular Season,4,NO,DET,3.0,51.5,27.25,24.25,NO,NO,35.0,29.0,True,3.0,False,False,False,True,False,64.0,Over
Regular Season,4,NYG,LAR,13.5,50.0,18.25,31.75,LAR,LAR,9.0,17.0,False,5.5,False,True,False,False,False,26.0,Under
Regular Season,4,BUF,LV,3.0,53.0,28.0,25.0,BUF,BUF,30.0,23.0,True,4.0,False,False,False,True,False,53.0,Push
Regular Season,4,IND,CHI,3.5,43.0,23.25,19.75,IND,IND,19.0,11.0,True,4.5,False,False,False,True,False,30.0,Under
Regular Season,4,PHI,SF,8.5,45.5,18.5,27.0,SF,PHI,25.0,20.0,False,13.5,True,True,True,False,False,45.0,Under
Regular Season,4,NE,KC,11.5,48.5,18.5,30.0,KC,KC,10.0,26.0,True,4.5,False,True,False,False,False,36.0,Under
Regular Season,4,ATL,GB,5.5,56.5,25.5,31.0,GB,GB,16.0,30.0,True,8.5,False,True,False,False,False,46.0,Under
Regular Season,5,TB,CHI,3.5,44.0,23.75,20.25,TB,CHI,19.0,20.0,False,4.5,True,False,False,True,True,39.0,Under
Regular Season,5,JAC,HOU,6.5,54.5,24.0,30.5,HOU,HOU,14.0,30.0,True,9.5,False,True,False,False,False,44.0,Under
Regular Season,5,CAR,ATL,2.5,53.5,25.5,28.0,ATL,CAR,23.0,16.0,False,9.5,True,True,True,False,False,39.0,Under
Regular Season,5,ARI,NYJ,7.0,48.5,27.75,20.75,ARI,ARI,30.0,10.0,True,13.0,False,False,False,True,False,40.0,Under
